landuse,samples,1,2,3,4,5,6,7,8,9,10,11,12
14,8100,0.529,0.502,0.524,0.688,0.898,0.96,1.176,1.692,2.117,1.672,0.954,0.634
20,192754,0.774,0.707,0.728,0.969,1.331,1.5,1.697,2.008,2.242,1.992,1.381,0.958
30,236041,2.5,2.272,2.246,2.772,3.366,3.318,3.247,3.283,3.357,3.545,3.296,2.857
40,19132,3.304,3.281,3.27,3.558,4.064,4.077,4.078,4.154,4.113,4.305,3.956,3.528
60,62481,1.362,1.244,1.336,1.84,2.562,2.741,2.793,2.852,2.749,2.647,2.205,1.668
110,136629,0.557,0.43,0.477,0.898,1.278,1.003,0.794,0.761,0.766,0.808,0.91,0.734
120,1965,1.222,1.157,1.225,1.63,2.086,2.0,1.922,1.952,1.977,2.042,1.802,1.443
130,144224,0.901,0.769,0.83,1.289,1.873,2.003,2.07,2.174,2.175,2.037,1.634,1.162
140,3147,0.262,0.21,0.209,0.285,0.411,0.328,0.284,0.276,0.282,0.259,0.303,0.312
150,4970,0.288,0.23,0.242,0.37,0.472,0.367,0.341,0.373,0.379,0.328,0.359,0.338
160,64,1.067,0.741,0.647,1.058,1.616,1.392,1.233,1.219,1.2,1.225,1.378,1.311
180,2407,1.516,1.273,1.237,1.742,2.029,1.69,1.476,1.454,1.46,1.629,1.862,1.718
200,15228,0.28,0.219,0.208,0.302,0.447,0.374,0.319,0.292,0.294,0.279,0.334,0.331
210,9613,0.047,0.041,0.042,0.051,0.064,0.061,0.056,0.06,0.067,0.073,0.065,0.054
