Indices,Historical,far_ssp370,near_ssp370
Days with high rainfall (P > 20 mm/day) [days/year],1,3.0 [3-3],1.5 [1-2]
Extreme precipitation (RP 5) [mm/day],28.6,37.0 [36.8-37.1],31.1 [29.5-32.7]
Extreme precipitation (RP 10) [mm/day],30.2,42.1 [40.7-43.5],32.4 [31.2-33.6]
Annual maximum discharge at outlet_1 [m3/s],11.7,77.5 [32.8-122.2],21.6 [18.8-24.5]
Extreme discharge (RP 5) at outlet_1 [m3/s],30593.5,31352.9 [183.4-62522.4],46363.9 [22.0-92705.8]
Extreme discharge (RP 10) at outlet_1 [m3/s],15066019.0,10943995.2 [443.2-21887547.1],13182775.8 [166.6-26365384.9]
Annual maximum discharge at outlet_2 [m3/s],11.3,40.1 [23.2-57.0],20.6 [15.3-25.8]
Extreme discharge (RP 5) at outlet_2 [m3/s],16.5,55.0 [34.4-75.6],29.5 [22.7-36.3]
Extreme discharge (RP 10) at outlet_2 [m3/s],19.3,67.6 [41.2-94.1],38.8 [28.6-48.9]
Annual maximum discharge at outlet_3 [m3/s],3658.3,4507.8 [4001.0-5014.5],4139.2 [3942.0-4336.5]
Extreme discharge (RP 5) at outlet_3 [m3/s],3883.9,4823.6 [4271.1-5376.2],4380.8 [4191.0-4570.7]
Extreme discharge (RP 10) at outlet_3 [m3/s],4006.7,5045.4 [4664.9-5425.9],4567.8 [4360.4-4775.3]
Annual maximum discharge at outlet_4 [m3/s],0.0,0.0 [0.0-0.0],0.0 [0.0-0.0]
Extreme discharge (RP 5) at outlet_4 [m3/s],0.0,0.0 [0.0-0.0],0.0 [0.0-0.0]
Extreme discharge (RP 10) at outlet_4 [m3/s],0.0,0.0 [0.0-0.1],0.0 [0.0-0.0]
Annual precipitation [mm/year],795.7,954.6 [911.0-998.3],859.4 [833.0-885.7]
Dry days (P < 0.2mm/d) [days/year],66,59.0 [58-60],65.0 [61-69]
Longest Dry spell (P < 0.8mm/d) [days/year],27,25.5 [25-26],26.0 [25-27]
Freezing days (T < 0 degC) [days/year],0,0.0 [0-0],0.0 [0-0]
Warm days (T > 25 degC) [days/year],346,363.5 [363-364],359.5 [359-360]
Mean annual discharge at outlet_1 [m3/s],0.9,5.6 [3.3-7.8],1.9 [1.5-2.3]
Minimum 7-day average flow at outlet_1 [m3/s],-0.0,0.0 [0.0-0.0],0.0 [-0.0--0.0]
Mean annual discharge at outlet_2 [m3/s],2.5,10.4 [7.5-13.4],5.2 [4.2-6.2]
Minimum 7-day average flow at outlet_2 [m3/s],-0.0,0.0 [-0.0-0.1],0.0 [0.0-0.0]
Mean annual discharge at outlet_3 [m3/s],1851.3,2306.8 [2154.1-2459.6],2093.2 [2020.8-2165.5]
Minimum 7-day average flow at outlet_3 [m3/s],33.6,53.4 [51.1-55.8],36.7 [27.6-45.7]
Mean annual discharge at outlet_4 [m3/s],0.0,0.0 [0.0-0.0],0.0 [0.0-0.0]
Minimum 7-day average flow at outlet_4 [m3/s],-0.0,0.0 [-0.0--0.0],0.0 [-0.0--0.0]
